楂,前村后寨旧貌改
楂,东方曙色上枝头
楂,林木参差透曙光
楂,树树参差晓色中
楂,核泄露后，日本变样
楂,一日入林
楂,十八盘
楂,九九八十一天
楂,眼前变成一片林
楂,日近西头树参差
楂,松林错落一线天
楂,但使人归去，床前空遗影
楂,参差树木映朝阳
楂,一夜无梦到天明
楂,要改旧貌需造林
楂,林外晨光动
障,早上立即赴陕西
障,鄂赣毗邻处
障,干部编制有变动
障,干部调配
障,干部结构要调整
障,阶前独伫到天明
障,自幼安居在江北
顺,若要安定须矫正
顺,泉底残花落颖川
顺,三张纸
非,罪该斩首
非,千金难买千日笑
非,左边看去三十一，右边看去一十三，整个看去三百二十三
非,两把断柄牙刷
非,两棍劈开阴阳路
非,左看三十一，右看一十三，合拢来看三百二十三
非,两根旗杆六个斗，中间有路无人走
非,两把牙刷都断了，背靠背来墙上挂
非,两根树干六个枝，中间有路无人走。
非,西川一取三分定
非,丝丝垂柳绽新芽
非,铁轨留两段，枕木断六截
非,两岸三通受阻
非,千金难买千日笑
非,左看三十一，右看一十三，左右一起看，三百二十三。
非,左边三，右边三，十一立在正中间。
非,坝通南北断横川
霖,梅畔雪村无处寻
霖,凤来梧桐雨，凤去吾同飞
霖,先露枝头一片春
霖,雪尽终南又欲春
霖,断桥残雪迎春来
霖,桃李满天下
霖,雨后植树
霖,梧桐半死清霜后
霖,断桥残雪迎春归
霖,九九重阳逢阴雨
荤,落日余晕映花前
荤,装车需要劳动力
荤,悬念大师
荤,弱冠古稀共爱心
荤,花前挥手别
唠,周末游崂山
傧,春节三日有客来
杂,五柳先生对春联
杂,旭日升空照村前
杂,倒看八十九，正看九十八。
杂,林木森森
杂,九十八
杂,九字不出头
杂,一百减二
杂,五四植树
杂,林树森森种类多
杂,八九十
杂,八九不离十
杂,小心牢记九一八
杂,森森森
杂,桥前浮鸭衔鱼归
杂,动机不纯
估,湖光水月人共赏
估,人口增加
估,山掩层云有仙居
估,湖的东西有游人
估,推心置腹掏心窝
估,千古艰难唯一死
估,人在画堂深处
估,千古一绝
估,田间变化人变样
估,湖光水月人留恋
旦,长河落日圆
旦,天上明月光
旦,一时缺十分
旦,天下无双
旦,没有恒心，一无所成
旦,旧貌变新颜
旦,没有恒心一无所成
旦,日出地平线
旦,雪山空留马行处
旦,一从明月西沉海
旦,明月出天上
旦,日脚下平地
旦,一日新妆抛旧样
旦,春末夏初
旦,春末夏初来集中
旦,太阳从地平面上升起来了
旦,要有所得，首先要有所付出
旦,天上日初升，此时正天明
旦,太阳出来了
旦,织女牵牛
旦,改变旧面貌，迎接新岁朝
旦,独具一格
旦,一日新装抛旧样
旦,旧貌换新颜
旦,一日之计在于晨
旦,二十四小时
旦,扭转旧偏见
旦,五音不全当女主
旦,天上有个太阳
旦,一飞就是一天
旦,恒心不足一无成
仆,三分天下
仆,左边有个人，不是自己人；右边象个人，是个算命人；两边连起来，本是一家人；女的服侍人，男的领导人。
仆,卜者
仆,雄心多一点
仆,算命先生
仆,天下三分人有变
仆,左边有个人，不是自己人；右边像个人，是个算命人；两边连起来，本是一家人；女的服侍人，男的领导人
成,只要两人心不变
成,垒土为城
成,石榴花开慢慢红
成,言而有信，莫作人猜
粥,一来就左右开弓
粥,枝头鸟对残月影
粥,一来二去弱点除
粥,三尺之内左右开弓
粥,左右开弓三尺长
粥,月月亏损不对头
粥,左右开弓不对头
粥,左右开弓，屡射屡中
金,一人得平反
金,值钱不值钱，全在这两点
金,三十未有二十余
金,一球牵动国中人
金,玉尚有瑕，人怎可免
金,一贯是平易近人
金,值钱全靠这两点
金,全凭点滴集资财
金,来人干在前头
金,干部首先带个头
金,一得之余
金,非同小可
金,平易近人度一生
金,挖穷根，摘穷帽，翻身大干变新貌
金,大乱之后要平反
金,有钱全靠点滴积累
金,全靠两点显贵重
金,虽说十分珍贵，全靠点滴积累
金,我行西北隅
金,一人平反
金,百分之九十九
金,上天自有安排
金,春节三日干在前头
金,重点在于安全
恸,想到说到也做到
稞,梅畔林边一痕斜
拐,要抢先，别落后
拐,着手加以改革
拐,握别后离去
拐,扣球有力球得分
拐,抢先别落后
芦,未曾启口先含羞
芦,二十户
芦,花前凭肩月下依
芦,藏北人家
山,居峰之巅，念念不忘思安
山,来人正是蓬莱客
山,今岁除夕
山,今岁今宵尽
山,妇女解放，翻身向上
山,一从君死知友少
山,仙人无踪影
山,岁到除夕
山,一夜长如岁
山,来人竟是蓬莱客
山,峰峦峻峭岂相同
山,崭露头角
山,妇女解放得翻身
山,一岁除夕
山,出去一半
吕,作品别具一格
吕,呆头呆脑
吕,前方后方一个样
吕,杏花村前杏树花
吕,呆头呆脑，能说会道。
吕,台上不见台下见
吕,这边唱来那边和
吕,互吻
呒,方少时
呒,一连干旱草荒芜
呒,知者减半，省者全无
问,抠门啥也舍不得
问,一门及格
问,晚间点心
问,闹市之隐曰中隐
问,入门无犬吠
问,扣门无犬吠
问,岁来岁去一挥间
问,开门无犬吠，不知对不对。
问,闭我宫中锁我才
问,入门有方求释疑
问,门内无犬吠
辟,醉翁迁居在中间
辟,分居独立
辟,六十一载隐居中
卸,御前少两人
卸,双人配合防守
髓,随上桥楼赏月
腰,西子姑娘去观月
腰,别干了，肝要紧。
腰,月满西楼角
湘,相逢西湖边，泪别断桥前
湘,江上柳初眠
湘,泪别断桥边
湘,楼头即目江头景，纵是春光也泪流
湘,十八相送泪分流
湘,西楼洒泪听乡音
湘,森林被毁和泪看
湘,十八相送泪两行
湘,闻乡音，未吐一字泪两行
湘,湖南乡音
湘,汕头春色入眼来
湘,目前种树多浇水
湘,闻乡音，泪洒村前。
湘,楼前秋水江头景，观外春光海上潮
湘,村前含泪听乡音
湘,未落一字泪两行
湘,和泪吞声免是非
湘,人见其濯濯也
湘,西湖春色入眼来
湘,西湖留影
湘,北宋亡泪两行
湘,十八夜观湖
湘,枕畔泪分流
湘,滩头秋水绕疏林
湘,满目春水出芙蓉
湘,临流一望春
湘,江畔春景映眼前
檬,刮目相看吕子明
弁,弄去一半
弁,上台伊始除弊端
弁,云开三光露
弁,抛弃一点
弁,芳草连云脚
醉,死鸡
醉,申请后当列兵
醉,夕阳伴随人归去
醉,人人主动援西部
巫,人对断肠人
巫,坐中横陈者，移上最高楼
巫,清水江边雁两行
巫,一道小桥南北架，两行斜雁东西飞
巫,一帘垂下隔人影
巫,人人关心
巫,天上银河隔牛女
巫,两人隔江望断水
巫,二人分庭坐江东
巫,混入江东重为人
巫,人人都出工
巫,工人二位
氦,八戒大怒
氦,夜半三更放《火娃》
氦,少给孩子喝汽水
氦,不要孩子气
氦,虽脱孩子气，依然不活泼。
拥,寸有所长当可用，任人唯贤挑异才
拥,佣人走后寻帮手
清,西湖春色归
清,西湖春色
清,激情释放无须怕
清,三月一直雨纷纷
清,舟去心乱乱，情心空牵挂
清,晴转阴有雨
清,汕头春色碧绿透
清,情海半生不知悔
清,植树节
清,激情放飞怕失落
清,演出时间，请勿喧哗
清,情海迷离悔不及
表,用心减负务尽力
表,衣冠不整未亡人
表,脱下上衣缝两针
表,言外之意标三声
奉,远树斜依牛背影
奉,十三大，改革之会，团结之会
奉,人钻乾坤需用心
奉,要用真心待人
奉,三人用心合作
奉,春节后干劲冲天
奉,五一请个假
奉,正数三个二，倒数两个三。
奉,春月分明转花前
奉,青春一逝渡日月
奉,三人骑头无角牛
奉,用真心待人
奉,春宵泪干无人伴
奉,远树影斜落牛背
奉,平川十里一人归
奉,须用真心托琴心
奉,与人结交用真心
奉,一抹远树春雨中
奉,五线谱上写个字
愆,水波纵横孤舟行
愆,一水隔开通行路，两地相思共一心
愆,行舟却遇水纵横
弹,一边无双，一边不直
弹,张先生孤独无伴
弹,一张弓
弹,一张弓箭
匆,云鬓梳难通，珊瑚玉手中，垂柳栖鸦称稳，斜帘揭东风
匆,只见手起刀落，人已是身首异处
匆,有心植草绿如茵
匆,接吻之后动芳心
皈,归去来辞
皈,长流夜郎得赦还
皈,黑
皈,千里江陵一日还
击,山横塞北云
击,用心画下来
击,安得倚天抽宝剑
击,残云横断峨嵋巅
击,无角牛登上没峰山
击,二山在一道猜出便错了
击,二山在一道，猜出便错了。
击,南岳洞天人不识
击,天下无人出其上
击,山中索道上下行
击,残云归太华
击,电杆高竖在山巅
击,二山紧相连，猜出不着边。
击,二山在一起，猜出便错了。
珀,一江清流皆秋色
珀,上香山
珀,百分之十提成
珀,皇后之言君亦明
珀,趵突水泻溅玉珠
珀,安石踏青
一,矢下之广，大有人在
一,无木之本
一,加三点，等于六
一,山西毕业去东瀛
一,酒干客散觉孤单
